MÁSTER CURSADO,AÑO ACADÉMICO,UNIVERSIDAD DE PROCEDENCIA,ASIGNATURA CURSADA,ASIGNATURA RECONOCIDA EN MUPEE
MÁSTER UNIVERSITARIO EN TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN PARA EL APRENDIZAJE DIGITAL,INDIFERENTE,UNIVERSIDAD NEBRIJA,PRINCIPIOS DE LA EDUCACIÓN EN LA SOCIEDAD DIGITAL,LA EDUCACIÓN EN LA SOCIEDAD DIGITAL
MÁSTER UNIVERSITARIO EN TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN PARA EL APRENDIZAJE DIGITAL,INDIFERENTE,UNIVERSIDAD NEBRIJA,PROPUESTAS EDUCATIVAS MEDIADAS POR TIC: DISEÑO DIDÁCTICO Y METODOLOGÍAS,PROPUESTAS EDUCATIVAS MEDIADAS POR TIC: DISEÑO DIDÁCTICO Y METODOLOGÍAS DE APRENDIZAJE
MÁSTER UNIVERSITARIO EN TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN PARA EL APRENDIZAJE DIGITAL,INDIFERENTE,UNIVERSIDAD NEBRIJA,"JUEGOS, GAMIFICACIÓN Y TIC","JUEGO, GAMIFICACIÓN Y TIC COMO HERRAMIENTAS PARA EL APRENDIZAJE"
MÁSTER UNIVERSITARIO EN TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN PARA EL APRENDIZAJE DIGITAL,INDIFERENTE,UNIVERSIDAD NEBRIJA,TENDENCIAS E INNOVACIÓN EN LA EDUCACIÓN,TENDENCIAS E INNOVACIÓN EN EDUCACIÓN MEDIANTE EL USO DE TIC
"MÁSTER UNIVERSITARIO EN FORMACIÓN DEL PROFESORADO DE EDUCACIÓN SECUNDARIA OBLIGATORIA Y BACHILLERATO, FORMACIÓN PROFESIONAL Y ENSEÑANZA DE IDIOMAS",2020-21,UNIVERSIDAD EUROPEA MIGUEL DE CERVANTES (UEMC),INNOVACIÓN DOCENTE E INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA EN LA ESPECIALIDAD EDUCACIÓN FÍSICA,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
MÁSTER UNIVERSITARIO EN ATENCIÓN A LA DIVERSIDAD Y NECESIDADES EDUCATIVAS ESPECIALES,INDIFERENTE,UNIVERSIDAD NEBRIJA,METODOLOGÍA EN LA INVESTIGACIÓN EN EDUCACIÓN ESPECIAL Y DIVERSIDAD,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
MÁSTER UNIVERSITARIO EN NECESIDADES EDUCATIVAS ESPECIALES Y ATENCIÓN TEMPRANA,2022-23,UNIVERSIDAD INTERNACIONAL DE VALENCIA,EVALUACIÓN Y BASES NEUROPSICOLÓGICAS DEL APRENDIZAJE + NEUROEDUCACIÓN Y NEURODIDÁCTICA,CEREBRO Y APRENDIZAJE
MÁSTER UNIVERSITARIO EN MÉTODOS DE ENSEÑANZA EN EDUCACIÓN PERSONALIZADA,2022-23,UNIVERSIDAD INTERNACIONAL DE LA RIOJA (UNIR),APLICACIONES DIDÁCTICAS DE LA METACOGNICIÓN,LA INTELIGENCIA EJECUTIVA EN EL AULA
MÁSTER UNIVERSITARIO EN MÉTODOS DE ENSEÑANZA EN EDUCACIÓN PERSONALIZADA,2022-23,UNIVERSIDAD INTERNACIONAL DE LA RIOJA (UNIR),FUNDAMENTOS DE LA EDUCACIÓN PERSONALIZADA,EDUCACIÓN PERSONALIZADA: EL DOCENTE COMO TUTOR DE APRENDIZAJE
MÁSTER UNIVERSITARIO EN TECNOLOGÍA EDUCATIVA Y COMPETENCIAS DIGITALES,2023-24,UNIVERSIDAD INTERNACIONAL DE LA RIOJA (UNIR),NEUROCIENCIA EN EL ÁMBITO EDUCATIVO Y LAS TIC,CEREBRO Y APRENDIZAJE
